datetime,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359
2024-08-04 15:20:28.620158,0,248,2480,2481,2491,2496,2503,2514,2520,2531,1958,2492,2490,2503,2269,1965,2489,2521,1464,1459,1851,1773,197,475,525,0,0,528,531,533,321,0,0,217,0,0,0,0,0,0,0,0,362,917,929,942,954,967,981,924,583,234,1482,1689,660,2147,2399,2377,2355,2331,2307,2288,975,0,1020,0,0,1220,915,275,245,2127,1069,1429,2129,2123,2117,2110,1404,1406,2130,2114,2109,2103,2098,1796,1580,1926,1841,1279,1063,1594,1593,1594,1598,1602,1141,1608,1611,1614,1618,1635,1647,1656,1665,1673,1684,1693,1708,1720,246,0,0,1683,2378,2400,2423,2446,2471,2501,2167,2568,2595,2613,2658,2688,2705,2766,1551,1336,894,1196,2029,2483,3123,3098,3237,3311,3344,3453,2941,926,471,476,969,577,585,0,1898,2667,2655,2728,2743,2741,1828,468,933,652,892,1095,916,1939,0,3592,3615,0,0,0,0,3452,0,6056,1024,2985,3347,2014,5027,8535,6704,2518,6044,3679,3349,2875,3017,9967,7054,2308,774,713,887,761,930,1094,775,543,1945,2264,306,2099,2511,0,0,1630,4236,4432,2711,2628,2277,4489,4369,4263,6988,5705,2573,2037,3008,2927,1422,4592,4190,1722,2032,0,3527,2962,2266,642,2646,4598,1437,0,0,651,1096,1661,0,0,0,0,571,897,966,1419,1741,861,3840,1601,0,0,727,0,3821,569,2664,4394,4435,2537,2647,2717,1471,2043,3055,4921,2797,6727,0,0,0,0,1086,0,845,1681,0,0,0,0,0,0,0,0,0,0,0,0,0,922,0,0,0,0,0,0,914,615,0,0,0,0,0,0,0,0,323,404,152,0,71,96,57,58,63,344,460,746,620,592,0,658,2771,1839,1537,2229,986,335,318,77,467,684,620,918,1322,1625,1177,1868,2050,2277,1529,2339,1771,1373,1705,1133,1356,2364,2396,340,431,960,1601,2161,1951,1780,1291,0,0,0,0,0
2024-08-04 15:20:29.699823,0,550,2478,2484,2490,2495,2504,2513,2522,2532,2392,2513,2466,2480,1425,711,1086,2096,1997,2636,748,993,880,868,350,0,262,527,529,531,534,88,88,136,0,0,0,0,0,0,0,0,180,610,476,753,782,796,993,998,902,505,675,1007,788,1508,1802,1357,1567,2395,2376,2357,1555,1020,931,461,459,2188,1066,0,699,1043,864,1600,1779,1765,1308,1050,2115,2108,2099,2093,1675,1351,1411,1365,1592,1592,1595,1595,1596,1598,1600,1602,1606,1286,0,1617,1620,1629,1634,1640,1647,1656,1665,1671,1681,1696,1707,1721,433,0,0,1765,2375,2394,2418,2444,2468,2499,1950,2484,2527,2585,2613,2647,2696,2708,1462,1310,666,1816,3023,3098,3168,3237,3285,3364,3449,3505,3206,591,0,0,0,0,0,0,1882,1634,2212,2103,2397,1739,1802,902,340,547,342,461,305,862,2771,2393,3586,0,1729,0,1451,3544,0,4345,2466,2470,2563,2009,4838,4692,7295,7374,9052,4153,836,2001,1127,4251,5309,689,620,715,670,948,1084,943,940,719,3722,1350,1398,3427,1142,0,0,1422,3264,3024,1351,0,1803,3360,3747,3982,5100,6748,1615,5138,4519,5045,5407,6814,4820,2047,0,0,2357,1150,1279,1999,3926,6825,1016,0,0,0,764,2319,0,0,0,0,534,1053,1041,1038,943,298,2019,884,0,793,993,1598,952,0,3149,5225,4372,3440,0,2427,0,738,4308,6152,2612,6053,933,958,0,925,813,0,0,0,0,0,0,0,0,0,0,0,0,0,3107,0,0,508,435,0,0,0,0,0,0,921,264,0,0,0,0,0,100,201,231,289,152,0,142,191,144,72,0,287,574,577,194,0,0,0,1265,1907,1397,2688,1595,548,560,110,86,725,501,552,791,1363,1358,1864,1545,2010,1709,1779,1179,456,1828,1177,934,2376,2398,1024,952,1191,1791,1603,1591,1187,944,0,0,0,0,0
2024-08-04 15:20:31.003101,0,247,1652,1491,1868,1997,1667,2011,1892,1899,1891,2499,2488,2504,2240,1518,1866,2532,1444,1325,1847,1682,225,411,525,0,0,529,530,533,401,0,0,90,0,0,0,0,0,0,0,0,0,802,928,941,955,966,980,1019,612,168,1204,1449,1068,1902,2405,2379,2356,2330,2307,2286,1136,0,766,0,536,1868,1279,207,276,2128,1610,2145,2129,2120,2115,2109,2102,900,2115,2104,1844,2000,2028,1751,1510,1843,1792,1279,1196,1594,1595,1594,1599,1603,1175,1513,1612,1616,1619,1633,1646,1655,1666,1673,1683,1691,1706,1717,431,0,0,2121,2378,2399,2422,2446,2466,2494,2529,2554,2581,2619,2659,2689,2733,2757,1559,1428,395,2305,2665,2737,2825,2779,2906,3343,3425,3405,2765,461,824,372,378,771,590,0,1551,1683,1903,1907,1994,2230,970,1172,552,254,0,0,0,1879,3475,7218,7198,0,0,0,0,0,0,3910,2473,1502,1542,909,3877,7548,10061,8375,9216,4423,0,0,0,1137,0,1108,1084,1069,1067,1076,1092,1105,156,277,6537,4861,0,1637,1887,0,0,0,4131,8348,7135,7111,0,7190,7464,8682,8693,5721,3225,0,0,0,0,3582,3499,5103,0,0,3013,4438,4080,2333,954,0,0,0,0,1964,2888,0,0,0,0,0,134,1059,1047,1049,960,104,3095,1891,0,693,1255,997,3470,672,5346,6540,5710,1235,3256,1620,0,169,3534,5838,5164,6786,3553,845,963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1526,0,0,0,0,0,0,364,738,0,0,0,0,0,0,0,67,324,403,162,0,0,0,0,0,0,382,575,578,437,0,0,0,2022,3331,1084,3219,1593,568,301,129,130,748,632,829,0,1147,1102,1942,2296,2255,2262,2424,2504,0,0,0,2440,0,0,612,436,536,1203,2399,2387,2371,1417,0,0,0,0,0
2024-08-04 15:20:32.325758,0,0,1653,1861,2176,2218,1947,2199,2207,2215,2274,2499,2479,2492,1950,758,1364,2595,2116,2110,1308,997,433,528,525,0,0,528,530,532,535,0,0,0,0,0,0,0,0,0,0,0,302,733,928,940,953,806,971,1011,591,253,1127,1298,770,1902,2206,1585,1766,2374,2348,2313,1174,799,845,335,852,2185,957,312,0,2129,0,2140,2129,2120,2114,2109,2100,1273,2111,2101,1751,1951,1966,1575,981,1594,1592,1594,1595,1595,1598,1600,1600,1377,1071,1611,1618,1621,1626,1641,1646,1655,1664,1672,1684,1694,1705,1719,870,0,0,1573,2376,2398,2423,2447,2469,2498,2527,2558,2591,2628,2668,2705,2748,2717,1087,953,1461,2620,3053,3110,3174,3238,3315,3387,3470,3539,3003,0,0,0,0,0,0,0,1270,1635,1666,1705,1711,2045,986,1023,789,310,0,0,0,865,4626,7218,5379,0,0,0,0,0,0,5123,3175,3921,3391,4012,6167,8046,7861,7835,5585,3086,0,436,283,1130,1120,1106,1088,1078,1075,1079,1091,734,366,418,7639,1637,0,2285,3262,0,0,0,0,3252,4092,3704,4556,5976,5861,7104,7555,5541,3392,1143,0,0,0,0,0,0,0,0,6379,10451,8179,2024,0,0,0,0,0,1954,3844,0,0,0,0,0,324,1066,1053,1052,872,215,2891,1599,0,0,770,799,1387,2171,5839,5679,5687,3914,819,1587,0,1526,2574,5160,3904,6722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142,0,0,0,0,0,0,0,786,231,0,0,0,0,0,0,57,404,346,116,0,0,0,0,0,0,343,574,578,349,0,0,0,748,2505,650,3216,1590,490,578,211,259,662,623,331,343,694,1119,1427,2315,1811,759,1899,1320,1149,1697,1746,1939,1332,1598,728,869,1092,1600,1960,2148,1975,1075,0,0,0,0,0
2024-08-04 15:20:33.751567,0,0,2479,2487,2491,2496,2502,2514,2523,2532,2541,2505,2471,2484,2140,0,1447,2621,2668,2275,1041,156,527,525,526,0,0,528,530,532,535,0,0,0,0,0,0,0,0,0,0,0,0,916,927,941,954,967,982,1017,464,253,1311,1413,1240,2077,1713,1697,2417,2106,2034,2325,1735,664,766,284,225,1339,945,409,209,1422,538,2137,2124,2116,2111,2104,2098,1407,1877,2107,1578,1912,1881,1843,1582,1684,1735,1645,1276,1597,1598,1599,1601,1471,1429,1611,1615,1473,1479,1632,1644,1651,1657,1669,1675,1689,1698,1708,779,185,305,1496,2311,2329,2424,2446,2470,2493,2525,2560,2590,2613,2657,2696,2731,2405,998,1169,1604,2543,2541,2586,3108,3206,3265,3271,3404,2792,3417,911,1072,1651,1121,859,1557,1431,1507,1043,1479,1488,1369,1493,1335,606,1515,1211,544,304,501,0,4308,0,0,0,0,0,0,3447,0,6602,1024,0,0,0,4415,5295,8799,8012,8568,3744,675,1252,1023,1129,1114,1103,1087,1074,1074,1083,1102,279,0,0,8147,5725,0,0,0,0,0,0,0,8104,7997,6163,4558,5117,4388,9040,8790,5676,4308,3604,1632,0,0,0,0,3939,2039,0,5296,10395,6848,3366,0,0,0,0,0,980,3201,0,0,0,433,530,314,854,828,846,1510,117,2265,2276,0,0,0,998,1907,1848,1837,3613,3224,3940,0,1864,2449,2744,1174,2454,1127,5714,1926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764,0,0,0,0,0,0,604,1106,0,0,0,0,0,0,0,67,404,404,271,0,0,0,0,0,95,287,574,957,624,530,0,125,1552,930,0,2586,1841,537,188,139,438,1183,1420,1590,2374,1016,923,1531,2017,1508,1137,2325,1178,980,1397,1133,1557,1980,2398,1040,1189,1691,1913,1372,1592,1424,890,0,0,0,0,0
2024-08-04 15:20:35.260353,0,206,1983,1931,2177,2219,2003,2157,2207,2215,2283,2493,2479,2488,2505,764,1674,2580,2114,1856,1571,1060,424,421,525,526,0,528,530,532,429,0,0,0,0,0,0,0,0,0,0,0,180,915,928,941,955,967,982,1017,676,126,973,1450,1597,1959,1441,1426,2428,2040,2011,2322,1334,1391,764,324,289,1429,913,477,293,1072,0,2138,2125,2119,2112,2103,2098,419,2126,2114,1688,1938,1980,1931,1928,1893,1924,1443,797,1596,1596,1594,1597,1605,1430,1406,1611,1615,1621,1633,1647,1655,1663,1674,1684,1694,1706,1716,576,0,0,1884,2375,2401,2426,2444,2466,2489,2516,2546,2580,2603,2635,2676,2709,2723,1591,1375,2392,1997,1747,1980,2487,2698,2755,3279,3244,3335,3498,1078,1234,1115,1134,1154,881,0,1423,1982,1776,1708,1828,1514,1175,680,1170,334,0,0,0,1730,2751,0,0,0,0,0,0,0,0,6545,800,0,0,0,3431,7612,7306,6870,9212,2953,1312,1826,2217,7087,3336,826,816,837,802,922,845,735,551,188,4592,4308,0,3809,1643,0,0,0,1605,4862,3854,2646,4556,5964,5011,5384,8858,5680,2191,0,0,2549,2475,4586,1649,1470,1686,0,3499,4158,3422,2233,1750,2058,0,0,0,646,1279,977,0,0,0,0,332,1082,1067,1063,974,193,5125,1553,0,0,801,0,2292,741,5196,6275,4913,4002,737,1442,0,0,4260,5227,4560,6734,2880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141,763,0,0,0,0,0,730,1106,0,0,0,0,0,0,0,40,404,345,152,0,0,0,0,0,0,457,575,577,348,0,0,0,1502,1670,1957,3216,3184,366,426,108,77,966,713,941,1200,1549,833,1569,2314,1863,1622,1661,2347,1712,1365,1941,1694,1370,0,545,564,1563,1406,2396,2385,2373,1458,0,0,0,0,0
2024-08-04 15:20:36.422012,0,0,1862,1773,2136,1998,1877,2094,2161,2172,2104,2501,2480,2492,1885,947,1428,2564,2055,1756,1456,1191,395,529,526,0,0,528,530,532,402,0,0,77,0,0,0,0,0,0,0,0,301,916,927,939,952,966,981,921,511,394,1099,1546,1135,2078,2402,2376,2352,2330,2306,2289,1137,0,815,848,358,1283,710,242,184,2132,1083,2139,2125,2117,2110,2103,1573,1210,2117,2105,1579,1714,1909,1844,1517,1720,1717,1456,1418,1596,1598,1599,1602,1606,1129,1410,1614,1619,1629,1637,1648,1656,1665,1673,1684,1693,1705,1475,494,0,0,1179,2376,2401,2422,2444,2469,2492,2523,2551,2584,2626,2656,2684,2732,2381,1324,392,1656,2537,2616,2487,2691,2697,2834,3306,3394,3424,2932,404,548,336,340,693,353,0,2132,2649,2657,2725,2741,2458,1705,299,0,0,0,0,0,3068,1725,0,0,0,0,0,0,0,0,5238,2051,0,0,0,2317,4585,6188,8731,8502,3240,776,1830,1757,4102,7078,879,812,833,1523,808,1096,658,365,138,5721,3801,0,1896,2869,0,0,0,0,6517,2393,6154,3641,6268,6248,5128,7673,5112,2707,1018,0,0,0,5374,4232,3836,2019,0,3006,3439,3402,1659,636,0,0,0,0,1291,2563,0,0,0,0,0,244,1075,1062,1055,955,291,4098,1700,0,0,690,886,2278,671,5443,5695,5523,5353,2663,2621,0,185,3468,3409,2941,4029,2348,2213,2015,0,962,1340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1524,0,0,0,0,0,0,518,1578,0,0,0,0,0,0,0,57,289,353,135,0,0,0,0,0,0,358,575,958,766,0,76,107,1360,1854,814,2758,1570,594,379,147,78,1326,797,1071,678,1514,1311,2033,2045,2280,1523,2350,1008,653,1172,1669,1685,1769,1917,1438,1590,1787,2041,1329,1588,1015,524,0,0,0,0,0
2024-08-04 15:20:37.555046,0,0,1860,1773,2076,2140,1787,2153,2103,2110,2214,2494,2483,2490,2229,947,1250,2561,1980,1976,1639,1191,396,529,526,527,0,529,530,533,429,0,0,109,0,0,0,0,0,0,0,0,362,916,927,941,954,967,981,1019,551,273,1375,1386,954,2011,2403,2376,2353,2332,2308,2288,1300,0,255,0,268,1601,1066,313,183,2135,1602,2139,2129,2120,2113,2108,2102,844,2121,2111,1898,2046,1999,1993,1382,1633,1812,1374,1275,1595,1596,1597,1599,1602,1204,1502,1611,1618,1624,1631,1647,1656,1666,1673,1683,1692,1706,1717,767,0,0,1886,2375,2397,2424,2443,2464,2492,2524,2550,2574,2610,2650,2670,2714,2750,1767,1453,462,1953,2037,2221,2724,2701,2855,3276,3334,3376,3420,1079,821,1429,1132,988,1174,593,1067,1344,1991,1705,1714,1511,1535,1214,1040,0,0,0,0,861,4623,7238,7208,0,0,0,0,0,0,3655,2551,3181,3460,1669,5029,4610,7555,6708,6824,3048,2512,4469,3768,5284,5102,686,619,1213,667,612,1096,871,659,447,5710,2292,0,7614,2278,0,0,0,1933,1933,1884,0,2290,5969,5810,6258,6478,5748,3210,0,0,2954,1241,4620,6285,1724,1449,0,3026,4444,4084,2994,544,3424,1679,0,0,977,1923,956,0,0,0,0,879,834,1059,1054,1063,528,2125,1245,0,0,0,1776,1690,0,2407,5117,4861,3919,736,2768,151,831,933,4241,3907,6848,1230,0,1926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1735,0,0,0,0,0,0,0,918,0,0,0,0,0,0,0,57,404,404,152,0,0,0,0,0,0,430,575,577,291,0,0,0,962,2779,1220,3222,1822,483,472,155,97,914,570,1299,184,1419,922,1712,2299,1917,1508,2345,2402,1140,758,1509,2346,763,0,612,532,483,1606,2397,2387,2370,1580,0,0,0,0,0
2024-08-04 15:20:38.684789,0,0,2064,1488,1659,1872,2146,1436,1801,2171,2213,2243,2485,2489,2008,1404,1666,2552,1849,1973,1643,1366,377,409,526,3326,0,529,424,532,321,0,0,0,0,647,0,0,458,0,0,0,1000,785,928,807,954,967,982,1021,471,253,1226,1578,1487,1920,2403,2377,2354,2328,2306,2289,1624,0,1021,530,307,1221,1422,182,183,2124,1420,1074,2131,2124,2117,2111,2108,701,2121,2111,2111,2101,2100,1745,1581,1927,1876,1279,957,1593,1594,1593,1597,1602,1256,1391,1608,1613,1619,1630,1647,1658,1665,1672,1683,1694,1707,1718,495,0,0,2020,2376,2396,2423,2446,2467,2496,2518,2544,2575,2613,2637,2664,2702,2727,1887,1611,1371,2105,2032,2139,1778,2153,2749,3245,3322,3338,3455,719,896,913,756,1154,1059,0,812,2668,2648,2728,2740,2198,673,0,0,0,0,0,0,2583,1762,7238,3592,0,0,0,0,0,0,5489,1592,2821,2520,2507,3841,8077,10054,8794,7816,3346,2007,1434,1677,837,0,976,929,805,950,896,952,624,366,319,4900,3783,0,2283,3840,0,0,0,2768,4867,2381,0,2284,5707,6248,7677,7811,8649,6174,1145,0,0,0,0,0,0,0,0,4208,8868,10136,0,0,0,0,0,0,1958,2752,0,0,0,0,0,121,966,1048,1047,1073,337,2011,2509,0,0,1449,727,2356,1138,3558,5322,4671,925,2659,2030,166,1742,3974,5446,3500,5673,1968,200,1124,0,1728,0,0,0,0,0,0,0,0,0,0,0,0,0,1017,0,0,1144,0,0,0,0,0,0,0,787,0,0,0,0,0,0,0,0,353,403,101,0,0,0,0,0,81,458,575,482,465,0,0,0,1682,1897,1852,2399,928,303,460,397,178,457,604,924,369,1227,1538,1780,1966,2072,1516,2378,1544,1539,1145,1025,754,2333,2400,594,912,716,1402,1601,1591,1725,1424,594,527,235,0,0
2024-08-04 15:20:39.786234,0,248,2064,2482,2489,2496,2503,2514,2523,2531,2541,2502,2471,2482,2185,0,1268,2633,2663,2646,970,154,525,528,525,0,0,529,531,533,535,0,0,0,0,0,0,0,0,0,0,0,451,688,928,943,955,967,982,904,509,156,1551,1502,1068,1962,2406,2378,2353,2328,2306,2290,1136,0,509,0,269,1781,1218,104,183,2125,859,1283,2130,2120,2114,2110,2105,2101,2097,2091,1744,1741,1890,1226,1141,1593,1594,1593,1595,1595,1595,1596,1598,1602,800,1610,1612,1618,1620,1635,1646,1656,1665,1671,1683,1693,1707,1473,288,0,0,1347,2379,2397,2424,2444,2465,2499,2534,2560,2590,2628,2672,2709,2743,2767,1262,725,0,1868,3048,3111,3177,3228,3302,3384,3470,3535,3608,0,0,0,0,0,0,0,1774,2636,2649,2731,2739,2770,1645,0,0,0,0,0,0,861,0,7214,4790,0,0,0,0,0,0,4399,1197,2984,4604,2506,4401,5130,8355,6687,8049,3357,2872,2006,225,560,0,978,724,899,935,711,1079,1081,1097,479,0,0,0,5730,6874,0,0,0,0,0,0,0,0,4775,4378,7070,6159,6912,7046,1409,0,0,0,0,0,0,0,0,4234,8866,7625,0,0,0,0,0,0,1955,2402,0,0,0,0,0,274,1073,1059,1058,896,326,2357,2907,0,1241,723,669,3175,615,4038,5070,4516,1467,2662,2100,128,2160,2536,6186,3765,6847,1235,0,1346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,911,0,0,0,0,0,0,0,920,0,0,0,0,0,0,0,0,323,404,152,0,0,0,0,0,0,285,575,579,291,0,0,0,2705,2861,2041,3215,1192,189,375,0,487,709,795,622,0,827,1230,2201,2143,2115,904,2343,2318,2309,2291,2275,2261,2262,0,834,463,443,965,2402,2388,2373,1772,0,0,0,0,0
